# 2D bond percolation simulation results
# L=1024, MC_STEPS=100, P_POINTS=101
# p_values, square_mean, square_std, triangular_mean, triangular_std, hexagonal_mean, hexagonal_std
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.010000 0.000004 0.000000 0.000005 0.000000 0.000002 0.000000
0.020000 0.000005 0.000000 0.000006 0.000000 0.000003 0.000000
0.030000 0.000006 0.000000 0.000008 0.000000 0.000003 0.000000
0.040000 0.000007 0.000000 0.000009 0.000000 0.000003 0.000000
0.050000 0.000008 0.000000 0.000011 0.000000 0.000003 0.000000
0.060000 0.000009 0.000000 0.000013 0.000000 0.000004 0.000000
0.070000 0.000010 0.000000 0.000014 0.000000 0.000004 0.000000
0.080000 0.000011 0.000000 0.000016 0.000000 0.000005 0.000000
0.090000 0.000012 0.000000 0.000019 0.000000 0.000005 0.000000
0.100000 0.000013 0.000000 0.000021 0.000000 0.000005 0.000000
0.110000 0.000014 0.000000 0.000025 0.000000 0.000005 0.000000
0.120000 0.000016 0.000000 0.000028 0.000000 0.000006 0.000000
0.130000 0.000017 0.000000 0.000032 0.000000 0.000006 0.000000
0.140000 0.000019 0.000000 0.000037 0.000000 0.000007 0.000000
0.150000 0.000020 0.000000 0.000041 0.000001 0.000007 0.000000
0.160000 0.000022 0.000000 0.000048 0.000001 0.000007 0.000000
0.170000 0.000024 0.000000 0.000056 0.000001 0.000008 0.000000
0.180000 0.000026 0.000000 0.000064 0.000001 0.000008 0.000000
0.190000 0.000028 0.000000 0.000077 0.000001 0.000009 0.000000
0.200000 0.000030 0.000000 0.000089 0.000001 0.000009 0.000000
0.210000 0.000033 0.000000 0.000103 0.000001 0.000010 0.000000
0.220000 0.000037 0.000000 0.000128 0.000002 0.000011 0.000000
0.230000 0.000040 0.000001 0.000153 0.000002 0.000012 0.000000
0.240000 0.000045 0.000000 0.000185 0.000002 0.000012 0.000000
0.250000 0.000049 0.000001 0.000235 0.000003 0.000013 0.000000
0.260000 0.000054 0.000001 0.000308 0.000005 0.000014 0.000000
0.270000 0.000060 0.000001 0.000402 0.000006 0.000015 0.000000
0.280000 0.000068 0.000001 0.000561 0.000008 0.000016 0.000000
0.290000 0.000074 0.000001 0.000796 0.000014 0.000017 0.000000
0.300000 0.000084 0.000001 0.001235 0.000028 0.000018 0.000000
0.310000 0.000095 0.000001 0.002013 0.000037 0.000019 0.000000
0.320000 0.000109 0.000001 0.003905 0.000077 0.000020 0.000000
0.330000 0.000122 0.000001 0.009826 0.000272 0.000022 0.000000
0.340000 0.000142 0.000002 0.050557 0.001885 0.000024 0.000000
0.350000 0.000160 0.000002 0.616691 0.003135 0.000026 0.000000
0.360000 0.000188 0.000002 0.761786 0.000509 0.000027 0.000000
0.370000 0.000228 0.000003 0.819434 0.000233 0.000029 0.000000
0.380000 0.000269 0.000003 0.856180 0.000139 0.000032 0.000000
0.390000 0.000328 0.000004 0.882081 0.000112 0.000035 0.000000
0.400000 0.000406 0.000006 0.901851 0.000080 0.000038 0.000000
0.410000 0.000509 0.000008 0.917321 0.000072 0.000041 0.000000
0.420000 0.000640 0.000011 0.929847 0.000055 0.000045 0.000001
0.430000 0.000880 0.000013 0.940161 0.000050 0.000051 0.000001
0.440000 0.001211 0.000024 0.948723 0.000044 0.000055 0.000001
0.450000 0.001749 0.000033 0.955954 0.000032 0.000060 0.000001
0.460000 0.002967 0.000067 0.962087 0.000029 0.000069 0.000001
